,RiskPerformance,ExternalRiskEstimate,MSinceMostRecentTradeOpen,MSinceMostRecentDelq,MSinceMostRecentInqexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden
0,Bad,55,4,2,0,33,-8
1,Bad,61,15,-7,0,0,-8
2,Bad,67,5,-7,0,53,66
3,Bad,66,1,76,0,72,83
4,Bad,81,27,-7,0,51,89
5,Bad,59,11,1,0,62,93
6,Good,54,7,9,0,89,76
7,Good,68,7,31,0,28,48
8,Bad,59,2,5,0,68,-8
9,Bad,61,4,5,0,31,86
10,Good,82,5,-7,0,15,88
11,Bad,50,25,2,0,84,64
12,Bad,74,2,-7,0,18,65
13,Good,69,6,-7,0,13,-8
14,Bad,63,26,27,0,-8,-8
15,Bad,63,3,32,0,71,80
16,Bad,61,19,0,0,62,68
17,Bad,62,4,23,0,25,91
18,Bad,89,9,-7,0,3,-8
19,Bad,65,2,-7,0,31,83
20,Bad,57,4,1,0,44,87
21,Bad,72,11,-7,0,49,23
22,Good,72,4,-7,0,43,48
23,Bad,65,9,1,0,14,71
24,Bad,64,4,0,0,24,81
25,Bad,58,3,13,0,63,50
26,Bad,58,16,4,0,79,38
27,Bad,79,7,-7,0,28,-8
28,Bad,66,32,3,0,19,50
29,Bad,69,8,-7,0,50,54
30,Good,71,3,37,0,5,9
31,Bad,54,12,4,0,62,14
32,Bad,68,7,-7,0,15,73
33,Good,75,4,-7,0,53,92
34,Bad,67,6,70,0,31,70
35,Good,88,33,-7,0,1,-8
36,Bad,51,13,2,0,79,50
37,Bad,70,25,-8,0,51,-8
38,Bad,65,10,72,0,52,-8
39,Bad,78,4,-7,0,7,-8
40,Good,86,18,-7,0,0,44
41,Good,90,13,-7,0,1,71
42,Bad,76,4,-7,0,37,-8
43,Bad,70,4,-7,0,42,73
44,Bad,73,16,-7,0,79,-8
45,Bad,72,2,-7,0,42,-8
46,Good,83,3,-7,0,22,87
47,Good,87,7,-7,0,12,89
48,Bad,55,6,5,0,97,90
49,Bad,65,12,1,0,63,-8
50,Bad,78,23,-7,0,57,32
51,Good,79,17,67,0,20,-8
52,Bad,75,18,-7,0,88,91
53,Bad,70,8,17,0,74,71
54,Bad,78,6,23,0,10,19
55,Good,-9,-9,-9,-9,-9,-9
56,Bad,75,14,-7,0,57,-8
57,Bad,76,11,-7,0,32,96
58,Bad,72,8,-7,0,60,82
59,Bad,55,4,4,0,79,79
60,Bad,74,30,12,0,45,-8
61,Bad,63,1,5,0,37,101
62,Bad,81,9,-7,0,24,92
63,Good,81,9,-7,0,0,64
64,Good,-9,-9,-9,-9,-9,-9
65,Bad,59,11,7,0,63,78
66,Good,-9,-9,-9,-9,-9,-9
67,Bad,-9,-9,-9,-9,-9,-9
68,Bad,66,11,3,0,36,64
69,Bad,72,5,30,0,66,82
70,Good,-9,-9,-9,-9,-9,-9
71,Good,73,7,-7,0,27,69
72,Bad,86,10,-7,0,0,36
73,Bad,91,100,-7,0,0,-8
74,Good,73,15,9,0,34,36
75,Good,78,2,32,0,22,55
76,Bad,65,8,8,0,49,87
77,Bad,75,1,-7,0,17,-8
78,Good,84,8,-7,0,33,-8
79,Good,75,12,-8,0,17,-8
80,Good,60,17,3,0,28,-8
81,Good,68,3,51,0,85,73
82,Bad,67,7,45,0,59,62
83,Bad,71,1,-8,0,37,39
84,Bad,50,2,1,0,32,-8
85,Bad,62,19,16,0,40,75
86,Bad,-9,-9,-9,-9,-9,-9
87,Bad,70,2,-7,0,78,92
88,Bad,58,6,18,0,81,75
89,Good,-9,17,-7,0,-8,-8
90,Good,88,13,-7,0,17,82
91,Bad,65,7,-7,0,80,86
92,Bad,74,5,76,0,37,91
93,Bad,78,2,-7,0,22,-8
94,Good,74,7,35,0,44,76
95,Good,77,11,-8,0,46,73
96,Bad,67,2,15,0,63,63
97,Good,56,6,15,0,83,42
98,Good,88,20,-7,-7,0,19
99,Bad,75,2,-7,-7,43,112
100,Bad,66,2,16,-7,42,81
101,Good,81,2,-7,-7,36,-8
102,Bad,71,8,-8,-7,87,87
103,Bad,69,2,-7,-7,37,58
104,Good,74,13,35,-7,36,-8
105,Bad,56,21,4,-7,101,79
106,Bad,65,9,2,-7,49,75
107,Good,-9,-9,-9,-9,-9,-9
108,Good,92,15,-7,-7,7,79
109,Good,91,3,-7,-7,2,41
110,Good,73,6,-7,-7,6,52
111,Bad,66,1,9,-7,58,60
112,Good,-9,-9,-9,-9,-9,-9
113,Bad,87,12,-7,-7,1,-8
114,Bad,64,16,57,-7,-8,144
115,Bad,-9,-9,-9,-9,-9,-9
116,Bad,63,2,29,-7,77,-8
117,Good,78,1,-8,-7,4,72
118,Bad,-9,-9,-9,-9,-9,-9
119,Bad,75,23,21,-7,13,-8
120,Good,68,9,25,-7,5,73
121,Bad,61,6,44,-7,53,77
122,Bad,63,2,3,-7,55,77
123,Bad,69,5,20,-7,94,-8
124,Bad,-9,-9,-9,-9,-9,-9
125,Bad,49,4,7,-7,37,66
126,Bad,74,9,-7,-7,61,67
127,Bad,65,37,0,-7,51,43
128,Bad,80,6,-7,-7,16,93
129,Bad,61,10,-8,-7,80,95
130,Bad,57,2,2,-7,57,77
131,Bad,59,7,5,-7,75,-8
132,Bad,71,15,13,-7,48,-8
133,Good,86,15,51,-7,3,-8
134,Good,83,3,-7,-7,17,-8
135,Bad,-9,-9,-9,-9,-9,-9
136,Bad,59,6,21,-7,38,98
137,Bad,59,0,1,-7,93,74
138,Good,-9,-9,-9,-9,-9,-9
139,Good,55,7,3,-7,56,87
140,Good,75,28,-8,-7,31,-8
141,Bad,78,3,-7,-7,0,-8
142,Good,65,0,-7,-7,1,98
143,Good,80,3,2,2,4,98
144,Bad,70,3,31,2,16,93
145,Bad,59,5,6,4,98,84
146,Bad,57,4,3,2,12,70
147,Bad,77,3,-7,2,26,74
148,Bad,65,13,-7,3,81,-8
149,Bad,67,2,-7,0,66,48
150,Bad,73,6,-7,0,54,100
151,Bad,73,8,-7,7,40,78
152,Bad,77,17,-7,17,41,-8
153,Bad,61,7,22,19,97,78
154,Good,86,77,-7,1,3,-8
155,Good,66,3,-7,10,66,81
156,Bad,64,8,1,0,48,78
157,Good,79,6,-7,4,18,61
158,Good,76,3,-7,3,42,69
159,Bad,62,19,-7,2,-8,-8
160,Good,81,3,-8,0,25,97
161,Good,-9,-9,-9,-9,-9,-9
162,Good,85,7,-7,2,1,20
163,Bad,75,5,-7,2,85,100
164,Good,-9,-9,-9,-9,-9,-9
165,Bad,72,2,-7,2,40,70
166,Bad,71,4,50,1,43,45
167,Good,65,40,5,5,75,27
168,Good,55,3,2,0,80,-8
169,Good,89,15,-7,-8,3,-8
170,Bad,50,20,1,3,42,67
171,Good,70,3,36,0,69,83
172,Good,-9,-9,-9,-9,-9,-9
173,Bad,55,5,2,1,44,91
174,Bad,69,13,23,5,6,66
175,Good,62,11,37,16,67,-8
176,Good,87,5,-7,5,3,92
177,Good,65,10,2,0,17,99
178,Bad,66,7,-7,0,58,97
179,Bad,-9,-9,-9,-9,-9,-9
180,Bad,85,45,-7,-8,53,-8
181,Good,81,1,-7,2,19,-8
182,Good,-9,-9,-9,-9,-9,-9
183,Good,-9,-9,-9,-9,-9,-9
184,Good,65,3,21,0,11,91
185,Good,-9,-9,-9,-9,-9,-9
186,Bad,-9,-9,-9,-9,-9,-9
187,Good,65,7,9,0,13,78
188,Good,85,5,-7,0,11,49
189,Good,67,3,11,3,18,62
190,Good,92,13,-7,4,11,-8
191,Bad,66,4,-7,4,83,80
192,Bad,62,8,4,0,13,59
193,Bad,62,1,24,0,13,97
194,Good,69,6,11,1,16,92
195,Bad,83,42,38,19,5,-8
196,Bad,57,13,26,3,93,71
197,Bad,-9,-9,-9,-9,-9,-9
198,Bad,66,6,24,4,45,75
199,Bad,66,4,36,4,80,53
200,Bad,64,6,3,5,52,77
201,Good,-9,-9,-9,-9,-9,-9
202,Good,81,16,-7,9,29,34
203,Good,63,2,22,0,38,-8
204,Bad,66,6,-7,0,105,94
205,Bad,61,2,4,12,56,85
206,Good,85,13,-7,18,12,34
207,Good,72,7,-7,7,34,97
208,Good,85,18,-7,17,17,62
209,Bad,78,8,7,4,6,77
210,Good,86,2,-7,1,26,100
211,Good,70,5,19,5,39,66
212,Bad,62,7,8,5,32,48
213,Good,82,1,-7,6,25,22
214,Good,75,8,-7,0,34,-8
215,Good,66,4,-7,1,80,55
216,Bad,93,27,-7,2,0,-8
217,Bad,67,16,20,4,44,77
218,Bad,64,1,26,1,29,77
219,Bad,67,7,-7,5,91,52
220,Good,81,1,-7,0,8,42
221,Good,80,10,5,-8,8,84
222,Good,84,2,-7,17,20,-8
223,Good,88,9,-7,5,0,-8
224,Good,82,38,-7,18,33,-8
225,Bad,60,1,0,0,16,86
226,Bad,60,4,1,0,0,53
227,Good,75,1,18,0,3,-8
228,Bad,59,4,5,1,48,45
229,Good,75,4,-7,0,41,97
230,Good,73,23,-7,1,25,70
231,Good,87,7,-7,13,10,50
232,Good,90,4,-7,0,2,-8
233,Good,63,3,-7,0,53,58
234,Good,89,1,-7,0,2,74
235,Good,82,1,-7,0,12,100
236,Good,70,33,-7,-8,3,48
237,Good,76,2,10,1,13,0
238,Good,75,7,65,6,47,70
239,Good,76,4,43,5,31,64
240,Bad,65,7,-7,1,83,77
241,Bad,65,11,2,3,9,32
242,Bad,92,57,-7,2,1,-8
243,Bad,66,4,60,0,19,62
244,Bad,64,3,17,0,34,47
245,Bad,63,3,2,0,57,75
246,Bad,61,12,70,0,89,-8
247,Good,76,12,-7,0,17,42
248,Bad,60,8,10,0,56,70
249,Good,89,4,-7,0,10,66
250,Good,85,8,-7,0,4,-8
251,Bad,58,11,41,0,68,15
252,Good,64,5,54,0,57,-8
253,Good,81,5,-7,0,25,101
254,Bad,56,5,17,0,43,85
255,Bad,55,4,4,0,100,45
256,Bad,51,6,1,0,94,88
257,Bad,68,8,71,0,59,24
258,Bad,55,1,32,0,66,-8
259,Good,87,4,-7,0,3,-8
260,Bad,68,17,78,0,64,65
261,Bad,70,6,6,0,35,68
262,Good,75,4,-7,0,60,95
263,Bad,70,11,71,0,50,80
264,Good,77,12,-8,0,41,44
265,Bad,73,5,8,0,35,85
266,Good,60,3,2,0,37,74
267,Bad,77,7,-7,0,16,65
268,Good,80,5,-7,0,36,54
269,Bad,82,4,-7,0,2,-8
270,Bad,83,8,-7,0,38,91
271,Bad,65,6,17,0,66,-8
272,Bad,77,2,12,0,17,64
273,Bad,66,4,15,0,55,-8
274,Bad,84,35,-7,0,4,50
275,Bad,59,8,29,0,70,93
276,Bad,66,5,12,0,80,-8
277,Bad,63,25,23,0,33,-8
278,Bad,73,6,-7,0,50,86
279,Good,77,14,-7,0,19,66
280,Good,79,8,-7,0,10,-8
281,Bad,64,8,7,0,58,84
282,Bad,67,11,3,0,68,58
283,Bad,80,5,17,0,16,44
284,Bad,74,3,12,0,5,95
285,Good,70,4,-7,0,83,-8
286,Bad,65,6,57,0,-8,-8
287,Bad,69,15,49,0,66,-8
288,Bad,73,3,57,0,42,47
289,Good,66,3,-8,0,33,61
290,Good,73,4,-7,0,45,88
291,Good,80,10,-7,0,7,23
292,Bad,58,6,8,0,69,85
293,Good,88,7,-7,0,1,91
294,Good,64,1,20,0,42,94
295,Bad,62,2,38,0,68,-8
296,Bad,73,38,44,0,40,5
297,Bad,86,3,-7,0,22,-8
298,Bad,66,16,4,0,24,-8
299,Good,69,2,12,0,25,100
300,Bad,58,21,3,0,62,66
301,Bad,75,5,-7,0,39,95
302,Bad,75,20,68,0,48,-8
303,Bad,70,8,-7,0,31,94
304,Bad,83,13,-7,0,2,-8
305,Bad,72,8,-7,0,73,-8
306,Good,84,5,-7,0,4,67
